Designator,Footprint,Quantity,Value,LCSC Part #
12V_IN,TestPoint_Pad_D2.5mm,1,12v_in,
"C1, C3",0603,2,10uF,
C2,0603,1,100nf,
C4,1206,1,47uF,
GND_IN,TestPoint_Pad_D2.5mm,1,GND_in,
G_OUT1,PinHeader_1x01_P2.54mm_Vertical,1,g_out1,
G_OUT2,PinHeader_1x01_P2.54mm_Vertical,1,g_out2,
G_OUT3,PinHeader_1x01_P2.54mm_Vertical,1,g_out3,
L1,IND_EPCOS_B82462A4_EPC,1,4.7uH,
R1,0603,1,56.2k,
R2,0603,1,10k,
VOUT_3,PinHeader_1x01_P2.54mm_Vertical,1,vout_3,
VR1,SOT95P280X110-6N,1,TPS561208DDCR,
V_OUT1,PinHeader_1x01_P2.54mm_Vertical,1,vout_1,
V_OUT2,PinHeader_1x01_P2.54mm_Vertical,1,vout_2,
